camera,lat,log
Van_Wyck_Expwy_@_91_Ave,40.699832,-73.814823
Van_Wyck_Expwy_@_Alwick_Rd_SB,40.673467,-73.801589
Van_Wyck_Expwy_@_Atlantic_Ave,40.697027,-73.813767
Van_Wyck_Expwy_@_College_Point_Blvd.,40.748502,-73.834591
Van_Wyck_Expwy_@_Foch_Blvd._SB,40.677796,-73.80354
Van_Wyck_Expwy_@_GCP/Interchange,40.716877,-73.826497
Van_Wyck_Expwy_@_Hillside_Ave,40.703875,-73.8167
Van_Wyck_Expwy_@_Jackie_Robinson_Pkwy,40.713339,-73.824376
Van_Wyck_Expwy_@_LIE,40.73935596,-73.84507656
Van_Wyck_Expwy_@_Queens_Blvd.(entrance_ramp),40.711483,-73.821954
Van_Wyck_Expwy_@_Rockaway_Blvd.,40.674623,-73.801507
Van_Wyck_Expwy_Btwn_115_Ave._&_116_Ave,40.680149,-73.804696
Van_Wyck_Expy_@_S_Conduit_Ave_LL,40.666235,-73.801711
Varick_St_@_Hudson_Street,40.72094915,-74.00751114
Verrazano-Narrows_@_Brooklyn_Bound,40.601213,-74.055619
Verrazano-Narrows_@_Staten_Island_Bound,40.603283,-74.054887
Victory_Blvd_@_Bay_St,40.637748,-74.076018
Victory_Blvd_@_Jersey_St,40.635735,-74.083777
Victory_Blvd_WOF_Campus_Dr,40.608768,-74.153616
VWE01_SB_at_134th_St_-_Ex19,40.706327,73.818254
VWE08_NB_at_Foch_Blvd_-_Ex2,40.6776,-73.802945
Water_St_@_John_St,40.70605086,-74.00485039
Water_St_@_Wall_St,40.70442421,-74.00721073
WBB-1_@_Bklyn_Plaza,40.70962936,-73.95974636
WBB-14_@_NIR_Bklyn_Kent_Ave,40.71174383,-73.96734238
WBB-16_@_SOR_Bklyn_Kent_Ave,40.716139,-73.996063
WBB-18_@_SOR_Cntr_Span,40.71268719,-73.97206306
WBB-19_@_Bklyn_Tower,40.71112576,-73.96644115
WBB-2_@_NOR_Bklyn-Driggs,40.71070287,-73.96317959
WBB-20_@_MidSpan,40.71005226,-73.96309376
WBB-21_@_SOR_Manh_Appr,40.71691588,-73.98571014
WBB-22_@_S_Manh_Twr,40.71379318,-73.97656918
WBB-23_@_N_Manh_Twr,40.714282,-73.976186
WBB-4_@_NOR_Bklyn-Mid_Span,40.71294743,-73.97171974
WBB-6_@_Delancy-Clinton,40.71724115,-73.98553848
West_Broadway_@_West_Houston_St,40.726958,-73.999928
West_Houston_@_Hudson_St,40.728739,-74.007137
West_Houston_@_Varick_St,40.7286,-74.005356
West_Shore_Expwy_@_Englewood_Ave,40.532279,-74.223976
West_Shore_Expwy_@_Fresh_Kills_Creek,40.577635,-74.19121
West_Shore_Expwy_@_Meredith_Blvd.,40.597303,-74.191232
West_Shore_Expwy_@_Victory_Blvd,40.566177,-74.193635
West_Shore_Expwy_@_Woodrow_Rd,40.541363,-74.224019
West_Shore_Expy_@_Arden_Ave,40.55975395,-74.19938564
West_Shore_Expy_@_Victory_Blvd,40.590118,-74.193442
West_St_@_Albany_St,40.70930405,-74.01493549
West_St_@_Canal_St,40.72507974,-74.0104723
West_St_@_Clarkson,40.729832,-74.010658
West_St_@_Murray,40.71444376,-74.0132618
West_St_@_West_Houston_St,40.729104,-74.010528
West_Street_@_Intrepid,40.76009816,-74.00218964
Whitestone_@_14_Ave,40.78613055,-73.82404804
Whitestone_@_Bronx_Bound,40.806837,-73.832813
Whitestone_@_Queens_Bound,40.79584539,-73.82580757
Whitestone_Expwy_@_14_Ave_(Median),40.786576,-73.824043
Whitestone_Expwy_@_25_Rd_(Median),40.776191,-73.828214
Whitestone_Nof_Linden_Pl,40.77062934,-73.83301735
